Event Number,Call Received,Complaint Number,Shift,Tencode,Tencode Description,Tencode Suffix,Tencode Suffix Description,Disposition Code,Disposition Description,Block,Street Name,Unit Dispatched,Sector,Zone,Reporting Area (RPA),Latitude,Longitude,Mapped Location
PD201800035011,01/10/2018 02:20:00 PM,0,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,200,ORIEL AV ,,S,13,8349,36.122,-86.743,"(36.122, -86.743)"
PD201800038763,01/11/2018 10:48:00 AM,20180034870,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6800,NOLENSVILLE PKE ,833A,MT,35,8651,35.996,-86.69,"(35.996, -86.69)"
PD201800040423,01/11/2018 07:24:00 PM,20180036287,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,2ND AV N ,421B,C,15,4133,36.164,-86.777,"(36.164, -86.777)"
PD201800040727,01/11/2018 08:52:00 PM,20180037031,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,3900,HILLSHIRE DR ,335C,S,35,8997,36.081,-86.601,"(36.081, -86.601)"
PD201800042279,01/12/2018 07:11:00 AM,20180037881,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,8100,CHARLOTTE PKE ,123A,W,23,4709,36.097,-86.97,"(36.097, -86.97)"
PD201800042698,01/12/2018 09:43:00 AM,20180038284,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,1400,51ST AV N ,1S47,W,15,4609,36.163,-86.849,"(36.163, -86.849)"
PD201800046392,01/13/2018 04:09:00 PM,20180041468,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,6400,HENRY FORD DR ,113B,W,15,4673,36.156,-86.883,"(36.156, -86.883)"
PD201800046737,01/13/2018 06:47:00 PM,20180042206,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2900,BABY RUTH LN ,333B,S,33,8865,36.046,-86.638,"(36.046, -86.638)"
PD201800047110,01/13/2018 09:21:00 PM,20180042123,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,100,HERITAGE TRACE DR ,721B,M,23,1765,36.267,-86.722,"(36.267, -86.722)"
PD201800048649,01/14/2018 10:46:00 AM,20180043580,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,10600,CONCORD RD ,835A,MT,35,8651,35.997,-86.692,"(35.997, -86.692)"
PD201800052903,01/15/2018 05:00:00 PM,20180047388,B,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,2400,BUENA VISTA PKE ,811A9,N,23,3101,36.198,-86.824,"(36.198, -86.824)"
PD201800053599,01/15/2018 09:15:00 PM,20180047963,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,500,HOSPITAL DR ,714B,M,13,1633,36.255,-86.683,"(36.255, -86.683)"
PD201800056290,01/16/2018 02:57:00 PM,20180050542,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,800,MURFREESBORO PKE ,532B,H,31,8815,36.136,-86.721,"(36.136, -86.721)"
PD201800056585,01/16/2018 04:34:00 PM,20180050670,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,300,4TH AV N ,415B,C,11,4159,36.166,-86.78,"(36.166, -86.78)"
PD201800056998,01/16/2018 06:50:00 PM,20180051061,B,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,800,NETHERLANDS DR ,521B,H,23,9509,36.198,-86.602,"(36.198, -86.602)"
PD201800059437,01/17/2018 10:31:00 AM,20180053351,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,2100,W SUMMITT AV ,622A,N,23,3155,36.197,-86.831,"(36.197, -86.831)"
PD201800059444,01/17/2018 10:32:00 AM,20180053365,A,88,Investigate 911 Hang-Up Call,P,PROGRESS,13,FALSE CALL,900,5TH AV N ,PARKS,C,13,4217,36.171,-86.786,"(36.171, -86.786)"
PD201800059518,01/17/2018 10:52:00 AM,20180053426,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1300,CLINTON ST ,611A,N,15,5423,36.164,-86.796,"(36.164, -86.796)"
PD201800060048,01/17/2018 01:36:00 PM,20180053891,A,88,Investigate 911 Hang-Up Call,PW,REQUEST FOR PUBLIC WORKS,13,FALSE CALL,1200,N 6TH ST ,221A,E,21,1905,36.193,-86.76,"(36.193, -86.76)"
