School Year,School Level,School ID,School Name,State School ID,Zip Code,Grade PreK 3yrs,Grade PreK 4yrs,Grade K,Grade 1,Grade 2,Grade 3,Grade 4,Grade 5,Grade 6,Grade 7,Grade 8,Grade 9,Grade 10,Grade 11,Grade 12,American Indian or Alaska Native,Asian,Black or African American,Hispanic/Latino,Native Hawaiian or Other Pacific Islander,White,Male,Female,Economically Disadvantaged,Disability,Limited English Proficiency,Latitude,Longitude,Mapped Location
18-19,Elementary School,315,Gateway Elementary,235,37115,,,53,43,40,62,61,,,,,,,,,,5,92,99,1,61,133,126,118,28,79,36.2922088797,-86.7106601795,"(36.2922088797, -86.7106601795)"
18-19,Elementary School,320,Glencliff Elementary,240,37211,,27,86,122,108,101,105,,,,,,,,,,18,60,373,1,97,282,267,214,40,299,36.101625851,-86.7230998317,"(36.101625851, -86.7230998317)"
18-19,High School,325,Glencliff High School,245,37211,,,,,,,,,,,,280,289,330,283,1,64,263,633,,221,648,534,457,116,478,36.1014006831,-86.7274692859,"(36.1014006831, -86.7274692859)"
18-19,Elementary School,330,Glendale Elementary,250,37204,4,16,94,88,77,76,77,,,,,,,,,1,10,22,35,,364,230,202,11,30,7,36.0959359228,-86.7839065582,"(36.0959359228, -86.7839065582)"
18-19,Elementary School,335,Glengarry Elementary,255,37217,,15,77,55,79,72,73,,,,,,,,,,5,63,238,1,64,192,179,171,35,216,36.1103898927,-86.7064250194,"(36.1103898927, -86.7064250194)"
18-19,Elementary School,345,Glenview Elementary,265,37217,,56,114,103,117,116,109,,,,,,,,,,4,107,328,1,175,357,258,305,51,385,36.1275704726,-86.7063679645,"(36.1275704726, -86.7063679645)"
18-19,Elementary School,350,Goodlettsville Elementary,270,37072,2,29,66,57,58,63,65,,,,,,,,,5,14,118,83,5,115,183,157,119,43,55,36.3129393439,-86.7104870774,"(36.3129393439, -86.7104870774)"
18-19,Middle School,355,Goodlettsville Middle,275,37072,,,,,,,,163,163,153,139,,,,,,19,270,170,1,158,303,315,239,87,137,36.3181505215,-86.7124640873,"(36.3181505215, -86.7124640873)"
18-19,Elementary School,360,Gower Elementary,280,37209,6,24,108,95,107,127,117,,,,,,,,,1,56,143,58,2,324,310,274,136,97,55,36.1153420518,-86.922286851,"(36.1153420518, -86.922286851)"
18-19,Middle School,365,Gra-Mar Middle,285,37216,,,,,,,,86,67,85,93,,,,,,5,239,52,,35,183,148,196,54,76,36.2328428043,-86.7451605246,"(36.2328428043, -86.7451605246)"
18-19,Elementary School,370,Granbery Elementary,290,37027,,,189,155,135,147,138,,,,,,,,,4,82,111,142,2,423,387,377,114,63,129,36.0467903017,-86.753046003,"(36.0467903017, -86.753046003)"
18-19,Middle School,434,H.G. Hill Middle School,295,37205,,,,,,,,193,168,163,162,,,,,3,52,215,142,,274,335,351,244,123,183,36.1163756827,-86.8667300076,"(36.1163756827, -86.8667300076)"
18-19,Elementary School,395,Harpeth Valley Elementary,300,37221,3,14,142,150,147,127,130,,,,,,,,,1,50,94,56,6,506,360,353,72,71,39,36.0455259589,-86.9580499609,"(36.0455259589, -86.9580499609)"
18-19,Special Education,397,Harris-Hillman Special Education,302,37212,180,132,39,43,47,37,35,27,26,22,17,13,7,9,97,1,32,170,94,3,431,456,275,110,289,28,36.1375948541,-86.8076042098,"(36.1375948541, -86.8076042098)"
18-19,Elementary School,230,Hattie Cotton Elementary,140,37206,,19,47,49,50,39,60,,,,,,,,,,2,171,49,,42,141,123,151,40,38,36.1910704106,-86.7477215122,"(36.1910704106, -86.7477215122)"
18-19,Middle School,400,Haynes Middle,305,37207,,,,,,,,58,74,72,58,,,,,,,250,2,,10,125,137,158,53,1,36.2076401818,-86.7891140421,"(36.2076401818, -86.7891140421)"
18-19,Elementary School,405,Haywood Elementary,310,37211,,50,118,136,96,127,138,,,,,,,,,1,113,59,426,,66,355,310,271,50,428,36.074169073,-86.708069174,"(36.074169073, -86.708069174)"
18-19,Middle School,410,Head Middle,315,37203,,,,,,,,171,173,108,118,,,,,1,22,358,36,1,152,305,265,126,39,39,36.1586049933,-86.8044055117,"(36.1586049933, -86.8044055117)"
18-19,Elementary School,552,Henry C Maxwell Elementary,318,37013,4,48,94,101,126,114,113,,,,,,,,,1,51,123,256,,169,324,276,199,61,232,36.0308340173,-86.673952123,"(36.0308340173, -86.673952123)"
18-19,Elementary School,415,Hermitage Elementary,320,37076,4,25,62,57,60,51,57,,,,,,,,,1,4,94,66,,151,163,153,110,54,37,36.1979902099,-86.6353701384,"(36.1979902099, -86.6353701384)"
18-19,Elementary School,420,Hickman Elementary,327,37214,6,34,87,97,96,93,93,,,,,,,,,1,22,206,82,2,193,268,238,204,80,86,36.1649798716,-86.6574788374,"(36.1649798716, -86.6574788374)"
18-19,High School,435,Hillsboro High,335,37215,,,,,,,,,,,,318,303,300,301,2,46,639,74,1,460,630,592,306,184,32,36.1070656078,-86.8122291617,"(36.1070656078, -86.8122291617)"
18-19,High School,440,Hillwood High,340,37205,,,,,,,,,,,,278,294,268,289,1,71,382,184,2,489,628,501,329,179,136,36.1188066874,-86.8739001973,"(36.1188066874, -86.8739001973)"
18-19,Elementary School,451,Hull-Jackson Elementary,350,37208,74,67,72,63,45,62,60,,,,,,,,,6,11,386,16,,24,214,229,162,30,9,36.1903186918,-86.8071782328,"(36.1903186918, -86.8071782328)"
